account_rewards,date
6356.736502372776,2023-10-05
4736.661934917443,2023-10-06
3132.9737902031047,2023-10-09
3335.659360965714,2023-10-10
969.1978289566468,2023-10-11
-2528.3310577889206,2023-10-12
8313.002026351984,2023-10-13
-978.502686561551,2023-10-16
-8191.907607257832,2023-10-17
-2273.306808910449,2023-10-18
-4501.644305023132,2023-10-19
-5168.789360227645,2023-10-20
15477.449594116304,2023-10-23
-9557.865338329342,2023-10-24
-10718.820834457409,2023-10-25
-11010.983608543407,2023-10-26
15903.300418415107,2023-10-27
7062.975869079586,2023-10-30
2295.5014063568087,2023-10-31
14807.907974517788,2023-11-01
11026.110692169168,2023-11-02
-1091.7365479278378,2023-11-03
992.5558629265288,2023-11-06
-3077.7757446442265,2023-11-07
-12193.00170415116,2023-11-08
5120.506518756971,2023-11-09
-267.28597169497516,2023-11-10
10040.282350692782,2023-11-13
5998.540423549595,2023-11-14
-3099.4523698444245,2023-11-15
-888.8406907540048,2023-11-16
889.5053770063678,2023-11-17
-1510.3177810668712,2023-11-20
4951.196435833001,2023-11-21
3331.4572541197995,2023-11-22
-2300.4534155769506,2023-11-24
-111.0742393397959,2023-11-27
1291.9489479064941,2023-11-28
10968.32462310791,2023-11-29
7241.483783721924,2023-11-30
-171.78008651733398,2023-12-01
-3002.038845062256,2023-12-04
-1868.2887229919434,2023-12-05
2441.964054107666,2023-12-06
4319.315086364746,2023-12-07
2452.3924827575684,2023-12-08
3317.1175537109375,2023-12-11
12417.549934387207,2023-12-12
8862.314350128174,2023-12-13
-970.8784637451172,2023-12-14
-1907.3267097473145,2023-12-15
6651.860980987549,2023-12-18
-12579.581314086914,2023-12-19
6073.289897918701,2023-12-20
1448.4354095458984,2023-12-21
4623.88680267334,2023-12-22
2880.6654014587402,2023-12-26
1539.2973518371582,2023-12-27
-5.09954833984375,2023-12-28
4115.937210083008,2023-12-29
-6462.678234100342,2024-01-02
1431.5230331420898,2024-01-03
