account_rewards,date
4606.770475715632,2023-07-07
8445.951754596783,2023-07-10
4396.109001190169,2023-07-11
-2323.316665122984,2023-07-12
-4878.591679985053,2023-07-13
-2763.2274900741177,2023-07-14
4720.914344612043,2023-07-17
8337.154927835567,2023-07-18
-7797.0566906662425,2023-07-19
4868.507768070209,2023-07-20
607.6759847259382,2023-07-21
-576.5578515318921,2023-07-24
4288.535960968002,2023-07-25
-7347.95614542393,2023-07-26
9489.422413990018,2023-07-27
4845.443873733515,2023-07-28
-7401.91711402894,2023-07-31
-12704.761365058832,2023-08-01
809.6733161391458,2023-08-02
-16786.295136863715,2023-08-03
2404.7277265243465,2023-08-04
-2442.262441368075,2023-08-07
-4218.6685791015625,2023-08-08
-1023.1694717407227,2023-08-09
-838.6803283691406,2023-08-10
3090.2593307495117,2023-08-11
-8789.898971557617,2023-08-14
-4204.322692871094,2023-08-15
-12100.861061096191,2023-08-16
669.94873046875,2023-08-17
-4124.533340454102,2023-08-18
-1693.5914840698242,2023-08-21
212.4551239013672,2023-08-22
-11606.095573425293,2023-08-23
9251.677528381348,2023-08-24
5596.973419189453,2023-08-25
16517.879356384277,2023-08-28
7342.560256958008,2023-08-29
863.582275390625,2023-08-30
6146.866554260254,2023-08-31
-8664.103721618652,2023-09-01
-12768.428176879883,2023-09-05
-13576.43839263916,2023-09-06
-275.6038513183594,2023-09-07
1659.2201843261719,2023-09-08
-5896.025459289551,2023-09-11
-4297.629417419434,2023-09-12
7647.000335693359,2023-09-13
-9277.813003540039,2023-09-14
1571.9333877563477,2023-09-15
-2314.6688537597656,2023-09-18
-8933.350624084473,2023-09-19
-14404.472457885742,2023-09-20
-1055.277229309082,2023-09-21
-275.8520278930664,2023-09-22
-10315.681373596191,2023-09-25
-7931.474182128906,2023-09-26
2969.6398391723633,2023-09-27
17160.710807800293,2023-09-28
-3975.952705383301,2023-09-29
-1923.3496780395508,2023-10-02
4178.7788009643555,2023-10-03
