account_rewards,date
-6035.12919542694,2023-01-04
19744.371190772974,2023-01-05
-8596.16077083582,2023-01-06
4182.879079658538,2023-01-09
10775.745602233917,2023-01-10
5992.887024807045,2023-01-11
3480.6227273101686,2023-01-12
-6975.098678611801,2023-01-13
-16850.0671141739,2023-01-17
-10244.502518325811,2023-01-18
14005.754531383514,2023-01-19
5113.806750480668,2023-01-20
1118.1022370796418,2023-01-23
62.65736651991028,2023-01-24
-965.952826694469,2023-01-25
2881.507656974718,2023-01-26
-11126.544544113101,2023-01-27
11122.428857757594,2023-01-30
7736.495263587916,2023-01-31
10376.234086826327,2023-02-01
-8989.312158508226,2023-02-02
-5488.739944480942,2023-02-03
11594.535622295458,2023-02-06
-2788.788874977152,2023-02-07
-9422.927901584539,2023-02-08
2480.4929329451406,2023-02-09
15835.384590469417,2023-02-10
-3218.9187356986804,2023-02-13
-4437.064844272565,2023-02-14
-14013.316142173833,2023-02-15
1094.5186528931372,2023-02-16
-20298.968626182643,2023-02-17
-2615.9991147307446,2023-02-21
3052.833006454399,2023-02-22
-12209.124612533604,2023-02-23
829.5030896530952,2023-02-24
-6820.666620468139,2023-02-27
-7997.623381179874,2023-02-28
7081.326633834862,2023-03-01
10376.750567916897,2023-03-02
4413.694586551632,2023-03-03
-11569.408170715324,2023-03-06
-3062.769515586784,2023-03-07
-11553.641348411562,2023-03-08
-5850.774227828952,2023-03-09
7248.3165665321285,2023-03-10
9416.485948989866,2023-03-13
2636.857134475722,2023-03-14
12140.691288803122,2023-03-15
-2022.824895799742,2023-03-16
2180.541202049353,2023-03-17
3448.3995022048475,2023-03-20
-14164.610119491583,2023-03-21
4012.8299621352926,2023-03-22
10132.712751441984,2023-03-23
5163.420665349928,2023-03-24
-3832.382618646603,2023-03-27
10109.928008544957,2023-03-28
3235.6683148231823,2023-03-29
11173.065211597364,2023-03-30
6328.089366588625,2023-03-31
3883.632700965856,2023-04-03
