date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-04-04,-33,100,-16,-51,100,100,-98,0,83,7,-76,0,100,100,84,96,35,-87,-100,0,-51,38,-100,100,-92,100,100,-24,100
2022-04-05,-6,0,0,0,-33,-58,1,0,0,-7,0,0,-53,-19,-78,92,100,0,-34,0,-81,-100,0,0,100,100,-71,1,-68
2022-04-06,0,0,0,0,34,-38,0,0,0,0,0,0,-88,0,100,0,0,0,0,100,-22,0,0,0,-2,-53,100,-1,0
2022-04-07,36,-65,100,100,-100,-100,-22,0,-3,66,0,0,100,-84,-7,-20,-49,0,0,67,-17,-100,47,-100,-29,37,50,7,95
2022-04-08,-90,-13,100,-2,0,-62,-2,0,-18,0,1,0,0,0,0,0,0,0,0,-85,0,-100,100,0,100,-100,100,1,0
2022-04-11,-78,-53,-17,-15,56,-100,-100,0,-78,82,-1,88,-100,-68,-26,83,40,0,80,10,0,100,100,-55,-74,87,-100,100,100
2022-04-12,-15,77,-100,0,83,-36,-100,0,-70,-66,100,85,48,1,0,0,-27,0,-80,100,100,0,100,-100,-41,-100,80,-25,-10
2022-04-13,-92,0,100,-76,75,100,-3,0,100,59,100,-70,-63,0,-22,100,-72,0,0,100,-100,-100,-100,91,-66,0,-41,0,10
2022-04-14,-82,-75,0,-7,100,100,3,0,-87,-80,-67,0,-97,100,-81,49,0,61,0,0,0,-10,65,0,100,-100,-41,100,100
2022-04-18,-72,64,-99,0,100,-49,100,54,30,-61,-43,-11,0,39,-100,100,-27,-61,0,100,0,-16,-43,100,-100,97,-10,-97,94
2022-04-19,-38,39,0,0,-20,-48,-100,0,-100,0,0,-92,0,100,0,100,0,100,0,0,0,-100,-7,100,100,0,0,0,0
2022-04-20,100,-100,-68,0,0,0,-3,0,-67,0,-12,0,100,-9,-100,0,0,-100,0,0,0,0,-11,0,85,100,-19,7,-55
2022-04-21,-100,50,75,0,0,-31,0,-10,1,0,94,0,-100,-52,68,67,0,0,0,-64,100,100,-95,-27,-96,3,-4,-93,42
2022-04-22,0,0,-51,0,0,-100,0,-44,100,0,0,0,0,-100,-17,0,51,0,100,0,0,-68,100,100,0,-51,-89,0,100
2022-04-25,0,-1,-40,0,70,-100,38,0,100,0,-100,0,70,80,-94,100,45,0,-56,16,-34,62,-38,-61,-89,83,-2,0,-60
2022-04-26,0,100,0,0,-100,-25,-38,0,-56,68,100,0,100,100,0,-4,9,0,-44,71,-66,-33,-68,54,0,-24,30,0,100
2022-04-27,0,-20,78,0,100,0,100,0,0,-68,0,0,-8,100,0,100,100,0,0,100,0,-100,100,-53,0,-66,0,100,100
2022-04-28,0,100,0,0,-70,-4,-55,0,0,92,0,1,-46,-43,0,-80,-100,0,0,100,0,-95,-100,0,0,0,100,2,100
2022-04-29,0,-82,0,0,100,-28,-45,0,100,-92,42,-1,0,0,0,0,-36,0,0,0,0,-68,-18,-10,0,100,100,-54,1
2022-05-02,0,0,0,0,-42,-82,0,0,-46,0,0,0,-25,-80,0,-52,7,0,0,-21,0,-9,100,-100,92,-3,0,-2,1
2022-05-03,0,-44,-28,100,-99,-100,100,0,100,0,0,0,100,100,0,-100,0,0,0,-17,0,48,-32,77,-25,100,-76,0,-29
2022-05-04,0,0,0,100,93,-16,-49,0,1,0,-63,0,99,100,0,0,1,0,0,-14,0,-100,0,95,-67,-5,0,-46,100
2022-05-05,0,-21,0,-79,-80,-100,-51,0,-13,0,-12,88,0,0,0,0,100,0,0,100,0,-74,18,92,0,100,-70,0,-4
2022-05-06,97,100,67,-22,0,-100,0,0,-100,0,-15,-88,0,76,0,-2,93,0,40,-26,0,-42,-33,-6,0,0,-37,0,100
2022-05-09,0,-100,-4,0,100,-2,55,0,0,0,-24,0,0,100,0,-90,-21,0,-40,0,39,-19,-100,68,0,100,-3,0,-74
2022-05-10,0,0,0,0,-6,-23,-55,91,-41,0,0,0,-43,3,0,0,-28,0,0,0,-39,0,100,0,0,0,-100,0,100
2022-05-11,0,0,-70,-38,0,-100,0,0,-56,0,0,0,-43,0,0,0,1,0,0,-54,0,0,-5,4,100,-21,100,0,0
2022-05-12,100,-53,0,0,0,-2,0,100,-90,0,-86,0,100,100,0,0,1,0,0,-92,74,0,100,0,-49,0,-66,0,0
2022-05-13,-100,100,100,-61,0,0,0,-100,0,0,-14,0,-91,-1,0,0,2,26,0,100,0,0,0,0,0,0,0,0,0
2022-05-16,0,-3,60,0,-21,0,0,-22,1,0,0,0,-14,-45,0,0,0,0,0,-41,100,0,0,0,-51,0,0,0,100
2022-05-17,-97,-196,-203,0,-499,0,0,-69,-1,0,0,0,-199,-782,0,-539,-225,-26,0,-550,-174,0,-521,-606,0,-864,-894,0,-1043
2022-05-18,19,100,51,100,22,2,20,0,79,0,0,0,1,52,11,95,0,0,0,19,0,0,100,0,100,100,0,0,9
2022-05-19,-19,-100,-51,-100,-22,-2,-20,0,-79,0,0,0,-1,-52,-11,-95,0,0,0,-19,0,0,-100,0,-100,-100,0,0,-9
2022-05-20,100,88,18,33,0,0,0,0,0,16,0,0,100,0,0,100,100,24,0,25,0,0,0,0,100,0,0,100,100
2022-05-23,-46,-7,100,46,100,0,100,100,0,10,0,15,100,100,0,82,100,53,0,100,0,0,0,100,53,0,58,26,100
2022-05-24,100,100,-5,-21,-74,0,-100,-100,0,-1,0,-15,41,-69,100,-81,62,-77,0,91,60,0,0,-100,-19,0,100,5,100
2022-05-25,-54,100,-15,-52,100,0,23,43,0,-9,0,0,-70,-31,79,100,9,56,0,100,-60,27,38,100,81,100,-85,9,2
2022-05-26,-100,-34,32,-6,-76,75,-23,-23,0,-16,0,0,100,0,-6,-35,54,-56,0,60,0,20,100,-36,-98,-39,95,-31,100
2022-05-27,0,-100,-19,0,89,8,100,-20,0,100,0,0,61,16,-100,100,100,95,0,16,0,-47,36,100,-100,-51,18,-100,30
2022-05-31,0,82,100,0,46,-83,-47,72,0,-35,100,0,-54,40,-73,100,100,-21,0,-33,39,0,41,80,100,22,-100,73,100
2022-06-01,0,15,55,100,100,0,76,-72,0,-21,-2,0,48,56,0,100,60,31,37,100,-39,0,64,-100,28,4,-9,-82,58
2022-06-02,0,100,100,-29,100,0,-8,0,69,55,45,35,100,-14,76,-32,-26,-100,-37,98,46,0,79,46,15,-2,61,0,100
2022-06-03,0,100,36,-27,100,30,-87,66,-69,48,-100,-35,0,44,100,-17,3,29,0,44,-46,0,4,-58,-100,62,-62,0,13
2022-06-06,0,100,-100,-1,72,-30,34,42,62,0,4,0,2,0,-100,-31,-7,-34,0,-100,0,0,100,60,-60,100,100,100,-100
2022-06-07,0,100,100,55,-21,0,1,0,-14,-100,64,0,100,-89,-76,100,-7,0,0,0,100,0,100,-65,100,17,100,-11,-23
2022-06-08,100,100,47,-78,-52,0,1,-97,100,-47,-53,0,18,-53,22,14,-100,0,0,16,64,0,-39,75,-100,-19,1,-40,100
2022-06-09,-100,-81,0,-20,0,0,-11,91,-100,0,0,100,1,0,-22,100,100,0,0,100,66,0,100,-2,0,0,-30,-49,-46
2022-06-10,0,69,0,0,-47,0,-41,-63,0,0,-40,-100,0,0,0,0,0,0,0,1,-57,0,-100,0,100,100,-96,0,0
2022-06-13,0,-100,-100,76,100,0,-18,-39,55,0,-18,0,100,0,100,-100,-94,0,0,100,-100,0,48,-40,-14,100,43,0,-100
2022-06-14,0,-71,0,-29,100,0,0,0,-100,0,0,0,100,3,7,0,-40,0,0,0,0,0,100,100,-13,-98,100,0,-100
2022-06-15,100,97,0,-47,0,0,0,0,-3,0,0,0,0,4,-85,-62,0,0,0,100,-31,0,-68,0,0,0,0,0,0
2022-06-16,0,100,100,0,-16,0,0,0,100,18,0,0,-94,-7,-14,-97,100,60,0,100,-42,0,-44,-61,-72,0,100,100,3
2022-06-17,100,-26,0,0,0,0,0,39,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,0,0,-100,0,-100
2022-06-21,-78,-100,58,0,65,0,63,100,-71,-18,0,83,21,0,-7,-100,19,-60,0,100,0,0,100,-93,-1,32,3,22,-100
2022-06-22,-100,-59,0,100,-38,0,-63,0,-7,0,0,0,0,0,-1,0,2,0,0,0,0,0,84,0,0,100,-43,0,0
2022-06-23,-22,-86,100,-1,-5,0,0,-12,0,0,0,-60,-64,0,0,0,7,0,0,-16,0,0,100,0,0,100,-48,0,0
2022-06-24,0,-32,0,-66,0,0,0,100,0,0,0,0,0,0,0,0,0,81,0,-26,0,0,0,-100,0,-9,100,-16,4
2022-06-27,0,0,-43,-33,100,0,0,80,1,0,0,-23,0,0,0,0,-100,-81,0,-32,0,0,100,0,0,0,0,0,-5
2022-06-28,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,0,0,0,0,0,0,0,0,0,0,0,93
2022-06-29,0,-100,100,0,-37,0,0,45,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,-6,0,0,0,-52,100
2022-06-30,0,-45,-10,0,-25,0,0,100,-1,0,0,100,-100,100,93,-44,60,0,0,-48,0,0,-100,0,0,0,-94,100,-23
2022-07-01,0,0,0,0,-100,0,0,100,0,0,0,-56,1,1,0,0,0,0,0,-100,0,0,100,0,0,56,0,-100,0
