account_value,date,daily_return
812743.5655688328,2023-07-07,
823945.4425620503,2023-07-10,0.013782793820554362
826181.1098370785,2023-07-11,0.0027133680939801508
824847.1059344182,2023-07-12,-0.0016146627982372985
826901.1582034001,2023-07-13,0.002490221829238415
843138.5591395268,2023-07-14,0.01963644720416835
849896.332763947,2023-07-17,0.008015021435286762
862866.7595866093,2023-07-18,0.015261186950273453
864868.9312098393,2023-07-19,0.002320371715546443
868219.8825533757,2023-07-20,0.003874519274092547
870227.1754267582,2023-07-21,0.0023119637245339053
876095.2551272282,2023-07-24,0.0067431584144590495
874847.3587267766,2023-07-25,-0.0014243843841734716
873497.5501482853,2023-07-26,-0.0015429075312699547
869701.8298190007,2023-07-27,-0.0043454275614628335
870604.5639460454,2023-07-28,0.0010379811748040257
871163.1758997807,2023-07-31,0.000641636831311132
867613.1079714665,2023-08-01,-0.004075089519994357
862308.2003977665,2023-08-02,-0.00611437001695736
864213.8649104008,2023-08-03,0.002209957543898078
880367.3122408757,2023-08-04,0.01869149291205785
899879.9947359929,2023-08-07,0.022164251470729646
906422.8679926762,2023-08-08,0.007270828660440376
900648.8794405827,2023-08-09,-0.006370082613736727
905322.2375491032,2023-08-10,0.0051888790573118015
909181.3130000004,2023-08-11,0.004262653993062804
910018.2187273869,2023-08-14,0.0009205047611735573
909263.405456818,2023-08-15,-0.0008294485264530582
905366.0207751164,2023-08-16,-0.004286309839714231
899209.7243769536,2023-08-17,-0.006799787331197016
899463.8759501347,2023-08-18,0.00028263881749857056
898653.6972391972,2023-08-21,-0.0009007351296700383
888931.6199305424,2023-08-22,-0.010818491415016118
889150.5682909855,2023-08-23,0.0002463050650174381
885775.5021517643,2023-08-24,-0.003795831954208073
887345.499080933,2023-08-25,0.0017724546742992064
889906.8082430729,2023-08-28,0.00288648464977026
897155.8063357243,2023-08-29,0.008145794621981839
893892.5843661198,2023-08-30,-0.00363729682911218
882369.7499316105,2023-08-31,-0.012890625379424536
884355.0679514775,2023-09-01,0.0022499842271574977
879564.4424517521,2023-09-05,-0.00541708378606609
870831.957687653,2023-09-06,-0.009928192117177548
881539.1392710576,2023-09-07,0.012295347556876113
887791.8312342534,2023-09-08,0.00709292609329415
891079.4797213444,2023-09-11,0.003703174968979317
891496.001400269,2023-09-12,0.00046743493527068303
887562.4847529301,2023-09-13,-0.004412265047920028
896627.6259959111,2023-09-14,0.010213524567235899
895176.2088625798,2023-09-15,-0.0016187512979194407
900277.1798708806,2023-09-18,0.00569828706102693
898559.2813685307,2023-09-19,-0.0019081884343622457
912723.4943354496,2023-09-20,0.015763248191423163
910256.9406092534,2023-09-21,-0.0027024106879073306
908031.6744768986,2023-09-22,-0.002444657143581108
908971.5612109074,2023-09-25,0.0010350814409092468
906110.3458407292,2023-09-26,-0.00314775015223423
905957.0034220585,2023-09-27,-0.0001692315062669092
914608.2326434025,2023-09-28,0.00954927131052119
905076.4074786076,2023-09-29,-0.010421757452637403
905914.6625101933,2023-10-02,0.0009261704588245934
893565.028000153,2023-10-03,-0.013632227207605596
902368.3249476323,2023-10-04,0.009851881700408072
