account_value,date,daily_return
817302.0897719435,2022-07-06,
827549.6265609602,2022-07-07,0.01253824860753272
826036.7501740622,2022-07-08,-0.0018281397735444571
823583.0338787741,2022-07-11,-0.0029704686804443714
823358.7601223654,2022-07-12,-0.0002723146873879756
821210.4626145377,2022-07-13,-0.0026091876492678745
816591.008349134,2022-07-14,-0.005625177071778231
831884.8358672156,2022-07-15,0.01872887083216912
825730.2004462256,2022-07-18,-0.007398422420543338
846539.4281029906,2022-07-19,0.025201001060055406
849242.3949113097,2022-07-20,0.003192960325989924
853962.93617489,2022-07-21,0.005558532277552208
856199.0415139403,2022-07-22,0.002618503970519326
859595.4245209899,2022-07-25,0.003966814773634919
854163.3080315795,2022-07-26,-0.0063193873937119616
861758.996305963,2022-07-27,0.00889254806775508
868359.004282495,2022-07-28,0.007658763070445218
864686.2746491637,2022-07-29,-0.004229506016772411
863821.588912519,2022-08-01,-0.0009999993778038174
860612.3420867287,2022-08-02,-0.0037151732105127344
868888.0099795663,2022-08-03,0.009616022787648726
865664.4826954324,2022-08-04,-0.0037099456398411723
866391.6661060769,2022-08-05,0.000840029162777034
868643.910384031,2022-08-08,0.002599568262327212
869445.2660206277,2022-08-09,0.0009225364122364965
882925.8069904763,2022-08-10,0.015504760905246995
882759.11994824,2022-08-11,-0.00018878941006883476
894092.2587574441,2022-08-12,0.012838314046382804
898457.4345386941,2022-08-15,0.004882243122557028
905456.0028217752,2022-08-16,0.007789537950314118
901312.3623646218,2022-08-17,-0.004576302376084529
901201.2649067361,2022-08-18,-0.000123261881812331
895492.0069111306,2022-08-19,-0.006335164205740762
879412.9495380837,2022-08-22,-0.017955556553217344
872144.3419788796,2022-08-23,-0.008265295118774385
875341.5713795144,2022-08-24,0.0036659406553969376
884976.0467518289,2022-08-25,0.011006532406693248
859188.6658314187,2022-08-26,-0.029139072198687055
854616.232649656,2022-08-29,-0.0053218034217642485
847114.6172932107,2022-08-30,-0.008777759033650967
842639.7420185525,2022-08-31,-0.005282490920717198
848983.8671406228,2022-09-01,0.0075288700564644095
839126.8398884255,2022-09-02,-0.011610382286056486
834714.580595823,2022-09-06,-0.0052581553620537624
847663.7214802224,2022-09-07,0.015513255890601929
852784.0845936257,2022-09-08,0.006040559462025863
859418.9017322976,2022-09-09,0.00778018405659342
863414.2010792214,2022-09-12,0.004648838114766463
828629.8644245584,2022-09-13,-0.04028696379001473
827854.0625294168,2022-09-14,-0.000936246602311841
828584.8336628396,2022-09-15,0.0008827294163298305
825816.1712177712,2022-09-16,-0.0033414350982375884
831899.5102528054,2022-09-19,0.00736645666076452
824862.1494282205,2022-09-20,-0.008459388108602695
811086.8436268289,2022-09-21,-0.016700130816937553
806096.1123188455,2022-09-22,-0.006153140501782728
795532.700239988,2022-09-23,-0.01310440767226917
785522.9161518533,2022-09-26,-0.01258249231629971
782354.8754566628,2022-09-27,-0.0040330340847472
798034.7810810525,2022-09-28,0.02004193508123442
784886.0104664285,2022-09-29,-0.016476438027941742
773536.5350788552,2022-09-30,-0.01446003016518116
792433.3278034646,2022-10-03,0.0244290888247225
