account_rewards,date
2076.8181210630573,2022-01-03
-7039.59072631842,2022-01-04
-1446.195056426921,2022-01-05
3346.6866495551076,2022-01-06
-3727.607034919667,2022-01-07
9457.506478744443,2022-01-10
1980.2070261153858,2022-01-11
-2675.1796348609496,2022-01-12
-2064.266492439201,2022-01-13
-14495.206892387476,2022-01-14
-9347.44603979867,2022-01-18
-7864.354550960474,2022-01-19
-17062.943996540038,2022-01-20
-706.0970006294083,2022-01-21
-5816.378737655701,2022-01-24
-4970.912718810956,2022-01-25
-0.601695133256726,2022-01-26
25427.92787331401,2022-01-27
-965.0661243055947,2022-01-28
2654.1943700371776,2022-01-31
959.571121490444,2022-02-01
-13311.203878333909,2022-02-02
698.5564495468279,2022-02-03
2629.6868995971745,2022-02-04
9843.6749808616,2022-02-07
9282.56906408316,2022-02-08
-13340.380337238312,2022-02-09
-16962.68029032892,2022-02-10
-5197.201855522115,2022-02-11
14129.744120048475,2022-02-14
-1716.7187153854175,2022-02-15
-21705.152493209927,2022-02-16
-7216.441001838655,2022-02-17
-6979.562408199301,2022-02-18
-15013.297804599744,2022-02-22
7866.946709011099,2022-02-23
23234.56661061861,2022-02-24
-3500.1852543831337,2022-02-25
-15441.18892994686,2022-02-28
15680.733714347822,2022-03-01
-2371.935107856756,2022-03-02
-7115.699315212201,2022-03-03
-20563.117206603987,2022-03-04
-5274.249285831465,2022-03-07
23644.322605781606,2022-03-08
-7189.283876548754,2022-03-09
-7272.183670059196,2022-03-10
-5172.852659221622,2022-03-11
16328.683227165136,2022-03-14
19357.17589022068,2022-03-15
11082.235696640098,2022-03-16
13711.658262824989,2022-03-17
-7070.9039540328085,2022-03-18
10921.938127498724,2022-03-21
-14559.13520191575,2022-03-22
9134.237138767261,2022-03-23
3426.466207443271,2022-03-24
6435.6019355354365,2022-03-25
15840.274203361478,2022-03-28
-8843.44739350502,2022-03-29
-15068.392322200816,2022-03-30
3308.6528261414496,2022-03-31
