account_rewards,date
-2240.0860719680786,2022-10-04
-8346.286839675973,2022-10-05
-13502.612316909712,2022-10-06
-1957.6771602173103,2022-10-07
-165.68387540814,2022-10-10
-1491.8046035766602,2022-10-11
24850.549167633057,2022-10-12
-10435.027210235596,2022-10-13
16093.464904785156,2022-10-14
9163.786304473877,2022-10-17
1929.3243370056152,2022-10-18
-12.110343933105469,2022-10-19
15894.88856124878,2022-10-20
10431.298076629639,2022-10-21
9362.477848052979,2022-10-24
-9249.112567901611,2022-10-25
4508.370964050293,2022-10-26
19402.62159347534,2022-10-27
-3834.2788162231445,2022-10-28
-3079.1853523254395,2022-10-31
-10405.18265914917,2022-11-01
-1239.1120719909668,2022-11-02
14934.337112426758,2022-11-03
13300.255306243896,2022-11-04
8699.275859832764,2022-11-07
-16115.013019561768,2022-11-08
33073.44716644287,2022-11-09
-483.2129211425781,2022-11-10
-2868.4125785827637,2022-11-11
2980.3272705078125,2022-11-14
-1651.7612228393555,2022-11-15
2374.3216819763184,2022-11-16
5578.572219848633,2022-11-17
-612.0145606994629,2022-11-18
9753.451560974121,2022-11-21
3418.9802322387695,2022-11-22
4200.785732269287,2022-11-23
-15139.584712982178,2022-11-25
5156.479797363281,2022-11-28
19946.824249267578,2022-11-29
-3164.734115600586,2022-11-30
4344.390625,2022-12-01
-8221.55634689331,2022-12-02
-13150.026248931885,2022-12-05
-1235.0920143127441,2022-12-06
5084.9830894470215,2022-12-07
-7647.24690246582,2022-12-08
17937.673622131348,2022-12-09
5297.897144317627,2022-12-12
-1982.631923675537,2022-12-13
-20902.320682525635,2022-12-14
-8892.553722381592,2022-12-15
-1908.8482704162598,2022-12-16
7168.574745178223,2022-12-19
13946.461708068848,2022-12-20
-14164.542407989502,2022-12-21
7003.308948516846,2022-12-22
1293.3831176757812,2022-12-23
-8841.816291809082,2022-12-27
9171.321445465088,2022-12-28
-424.30966567993164,2022-12-29
2301.0423889160156,2022-12-30
