date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-10-05,0,0,0,0,100,-100,100,0,36,0,0,0,0,1,100,0,100,-100,0,0,0,-100,0,0,0,0,0,0,0
2023-10-06,0,0,0,0,0,-44,100,0,0,0,0,0,0,100,100,100,45,-100,0,0,0,-100,0,0,0,0,1,100,0
2023-10-09,0,0,0,0,0,0,100,0,0,0,0,0,0,100,100,53,1,-100,0,0,0,-100,0,0,0,0,0,100,0
2023-10-10,0,0,0,0,0,0,100,0,0,0,0,0,0,100,100,54,1,-100,0,0,0,-100,0,0,0,0,0,100,0
2023-10-11,-90,0,0,0,0,0,100,0,1,14,0,0,0,100,100,100,100,-100,0,0,0,-100,0,0,0,0,0,100,0
2023-10-12,-99,0,0,0,0,0,100,0,0,0,0,0,0,100,100,35,1,-17,0,0,0,-100,0,0,0,0,0,100,0
2023-10-13,-100,0,0,0,0,0,100,0,0,22,1,0,0,0,100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0
2023-10-16,-100,0,0,0,0,0,100,0,0,22,0,0,1,3,100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0
2023-10-17,-100,0,0,0,0,0,100,0,0,23,0,0,1,0,100,0,0,0,0,0,0,-100,0,0,0,0,0,1,0
2023-10-18,-100,0,0,0,0,0,100,0,0,25,0,0,0,1,100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0
2023-10-19,-100,0,0,0,0,0,100,0,0,25,0,0,0,1,100,0,0,0,0,0,0,-100,0,0,0,0,0,1,0
2023-10-20,-100,0,0,0,0,0,100,0,0,24,0,0,0,0,100,0,0,0,0,0,0,-100,0,0,0,0,0,1,0
2023-10-23,-100,0,0,0,0,0,100,0,0,25,0,0,0,0,100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0
2023-10-24,-100,0,0,0,0,0,100,0,0,25,0,0,1,2,100,0,0,0,0,0,0,-100,0,0,0,0,0,1,0
2023-10-25,-100,0,0,0,0,0,100,0,0,24,0,0,1,2,100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0
2023-10-26,-100,0,0,0,0,0,100,0,0,23,0,0,0,2,100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0
2023-10-27,-100,0,0,0,0,0,100,0,0,24,0,0,1,1,100,0,0,0,0,0,0,-100,0,0,0,0,0,1,0
2023-10-30,-100,0,0,0,0,0,100,0,0,25,0,0,0,2,100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0
2023-10-31,-100,0,0,0,0,0,100,0,0,24,1,0,0,0,100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0
2023-11-01,-93,0,0,0,0,0,100,0,0,20,1,0,0,0,100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0
2023-11-02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,0,0,0,-100,0,0,0,0,0,0,0
2023-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,0,0,0,0,0,0,-100,0,0,0,0,0,0,0
2023-11-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,-100,0,0,0,0,0,1,0
2023-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,-100,0,0,0,0,0,0,0
2023-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,-100,0,0,0,0,0,1,0
2023-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,-100,0,0,0,0,0,1,0
2023-11-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,72,0,0,0,0,0,0,-100,0,0,0,0,0,1,0
2023-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,-100,0,0,0,0,0,0,0
2023-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,-100,0,0,0,0,0,1,0
2023-11-15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,48,0,0,0,0,0,0,-67,0,0,0,0,0,1,0
2023-11-16,0,0,0,0,-100,0,-2004,0,-37,-345,-3,0,-5,-1326,-2694,-342,-248,0,0,0,0,0,-40,0,0,0,-3229,-511,0
2023-11-17,100,0,0,0,100,0,100,0,100,100,100,0,100,100,100,100,100,0,100,0,100,0,100,100,100,100,100,100,0
2023-11-20,100,0,0,0,100,0,100,0,100,100,100,0,100,100,100,100,100,0,100,0,100,0,100,100,100,100,100,100,0
2023-11-21,100,0,0,0,100,0,100,0,100,100,100,0,100,100,100,100,100,0,1,0,0,0,0,0,61,0,1,100,0
2023-11-22,-100,0,0,0,0,0,100,0,0,21,0,0,1,0,100,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2023-11-24,-100,0,0,0,0,0,100,0,0,20,0,0,1,1,100,0,0,0,-100,0,0,0,0,0,0,0,0,1,0
2023-11-27,-100,0,0,0,0,0,84,0,0,0,0,0,0,0,100,0,0,0,-1,0,0,0,0,0,0,0,0,1,0
2023-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
