date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-04-05,0,-28,0,0,0,0,-100,100,0,30,0,-100,-100,0,-100,100,0,100,100,0,-100,100,0,0,0,0,1,-100,100
2023-04-06,0,0,0,0,0,0,-100,100,0,0,0,-28,-100,0,-100,100,0,92,0,0,-100,100,0,0,0,0,1,-100,100
2023-04-10,0,0,0,0,0,0,-100,100,0,0,0,0,-100,0,-100,100,0,71,1,0,-100,100,0,0,0,0,0,-100,100
2023-04-11,0,0,0,0,0,0,-100,100,0,0,0,0,-100,0,-100,100,0,67,1,0,-100,100,0,0,0,0,1,-100,100
2023-04-12,0,0,0,0,0,0,-100,100,0,0,0,0,-100,0,-100,100,0,66,0,0,-100,100,0,0,0,0,1,-100,100
2023-04-13,0,0,0,0,0,0,-100,100,0,0,0,0,-100,0,-100,100,0,63,2,0,-100,100,0,0,0,0,1,-78,100
2023-04-14,0,0,0,0,0,0,-2,100,0,0,0,0,-100,0,-100,100,0,33,0,0,-100,100,0,0,0,0,0,0,100
2023-04-17,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,-100,100,0,25,1,0,-92,100,0,0,0,0,0,0,100
2023-04-18,0,0,0,0,0,0,0,63,0,0,0,0,-100,0,-100,0,0,0,1,0,0,100,0,0,0,0,0,0,100
2023-04-19,0,0,0,0,0,0,0,63,0,0,0,0,-100,0,-100,1,0,0,0,0,0,100,0,0,0,0,0,0,100
2023-04-20,0,0,0,0,0,0,0,65,0,0,0,0,-100,0,-100,0,0,0,0,0,0,100,0,0,0,0,1,0,100
2023-04-21,0,0,0,0,0,0,0,64,0,0,0,0,-100,0,-100,0,0,0,0,0,0,100,0,0,0,0,0,0,100
2023-04-24,0,0,0,0,0,0,0,62,0,0,0,0,-100,0,-100,0,0,0,0,0,0,100,0,0,0,0,1,0,100
2023-04-25,0,0,0,0,0,0,0,66,0,0,0,0,-100,0,-100,0,0,0,0,0,0,100,0,0,0,0,0,0,100
2023-04-26,0,0,0,0,0,0,0,63,0,0,0,0,-96,0,-100,0,0,0,0,0,0,100,0,0,0,0,2,0,100
2023-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,87,0,0,0,0,0,0,100
2023-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,87,0,0,0,0,1,0,100
