date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-01-04,0,100,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,-36,0,0,1,81,0,0,0,0,-100,2,0,-93
2023-01-05,100,-100,0,-82,0,0,0,-23,12,100,100,0,0,0,-68,-100,0,0,100,-20,100,0,0,-100,0,-88,0,100,-45
2023-01-06,91,0,-17,0,0,0,0,-100,1,-100,84,0,49,0,0,-100,0,0,-66,0,100,0,0,-100,65,-68,-2,100,100
2023-01-09,-59,0,37,-100,0,74,0,0,-13,0,71,100,95,0,-17,63,-100,0,-34,-100,0,0,0,-5,-65,-15,100,-19,100
2023-01-10,-100,0,-38,-16,0,-72,0,100,0,0,100,30,-20,0,0,-18,-2,0,0,-100,100,0,100,-100,0,-100,0,2,-50
2023-01-11,100,0,0,-100,88,-2,0,0,0,0,0,0,0,2,0,0,-42,0,0,-30,0,0,-17,0,0,0,-20,0,-100
2023-01-12,0,0,-75,-42,72,0,100,-40,0,0,0,0,100,0,-11,-95,100,0,0,0,100,0,-83,0,0,-23,3,-72,-100
2023-01-13,-100,0,-79,-60,-64,54,-23,-55,0,0,-90,0,0,0,100,0,0,0,0,-70,100,100,100,0,0,100,100,0,-12
2023-01-17,-32,0,-42,-100,-96,-26,-31,-59,0,0,4,34,41,-2,-80,52,-55,0,0,64,-22,-39,-100,-100,0,-100,100,100,-100
2023-01-18,0,0,-88,-100,0,100,-16,83,87,0,100,-41,100,0,53,-100,21,13,0,-100,100,-61,0,-100,100,0,4,-99,92
2023-01-19,0,0,-62,94,0,0,74,0,100,0,-49,-35,82,0,100,-100,-78,-13,0,100,-17,0,100,0,50,0,1,-23,-100
2023-01-20,0,0,-100,-100,18,25,14,-100,-66,0,55,-50,68,100,-67,5,100,0,0,4,-65,70,-4,-95,-36,0,100,100,-19
2023-01-23,0,0,-36,-4,-18,100,0,-99,0,0,100,100,0,-100,94,-7,-27,0,0,89,0,-70,99,0,6,0,100,100,-19
2023-01-24,0,0,44,-22,0,-100,100,-7,-80,0,-100,-2,100,0,100,84,-37,100,0,-84,-64,4,-14,0,-100,100,13,22,-37
2023-01-25,0,0,100,21,0,-81,100,0,-7,0,-94,-84,100,0,3,-84,-62,11,100,-100,-17,45,-27,0,100,-100,100,93,-100
2023-01-26,0,53,-66,-54,0,100,0,0,79,100,-100,-13,72,0,68,0,0,-100,-100,100,-62,0,-36,0,100,0,100,4,0
2023-01-27,0,-27,-70,4,56,100,100,0,-10,-39,-100,-39,14,100,87,100,39,-11,0,47,85,5,100,0,-100,0,100,-100,-15
2023-01-30,0,-26,-42,0,-56,0,100,0,100,-10,-35,0,100,-28,-62,-30,-63,65,0,-71,100,0,100,0,0,0,3,0,-100
2023-01-31,0,0,0,-39,0,0,94,100,-100,0,0,100,0,-9,-100,0,74,-12,0,-91,22,0,0,0,-7,0,0,0,0
2023-02-01,0,0,-60,0,0,-49,-76,-100,0,-21,0,19,-18,-63,100,-70,0,-53,0,-39,-18,0,100,0,100,0,100,2,-100
2023-02-02,18,12,-100,60,100,100,10,0,-64,9,-32,-100,-39,100,-79,0,-82,100,74,0,19,-54,-56,0,-100,0,57,-53,-5
2023-02-03,0,-12,31,0,-73,0,100,0,0,0,0,100,100,-100,0,0,100,-4,-74,69,81,0,-57,0,-22,0,100,100,0
2023-02-06,0,0,100,0,0,0,-5,0,-39,-18,100,-80,-64,0,0,100,57,-96,100,0,-85,0,0,0,0,0,-42,100,100
2023-02-07,-18,0,0,-60,0,-58,-58,100,100,-21,18,-28,-63,0,100,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2023-02-08,0,46,-38,0,0,-100,-26,0,100,0,0,-11,0,0,100,100,-67,100,-100,100,0,0,-28,0,-91,0,100,3,-100
2023-02-09,0,-3,-57,0,0,0,0,-100,100,0,100,66,-95,0,100,0,0,-42,0,-100,0,0,-100,0,0,0,100,-16,0
2023-02-10,0,0,-42,0,-27,0,0,0,-24,0,-28,0,0,0,100,0,0,-58,0,-69,69,0,100,0,0,0,2,0,0
2023-02-13,0,8,1,0,0,-48,0,0,-100,0,-18,0,0,0,100,0,-67,0,0,0,100,0,-94,0,0,0,0,-100,0
2023-02-14,0,0,1,0,0,100,-100,0,0,89,-100,0,0,0,0,-100,-20,0,1,0,0,0,-19,0,0,0,100,1,0
2023-02-15,0,0,-2,100,0,100,100,0,0,-89,-1,9,0,0,0,-87,-21,0,-1,100,0,0,-100,0,0,0,100,3,0
2023-02-16,0,0,0,-100,0,-100,100,0,0,0,0,1,-1,0,0,-13,0,0,0,-26,0,0,-64,0,96,0,0,0,0
2023-02-17,0,-51,100,0,0,-40,100,0,0,0,-2,0,100,0,-17,0,-98,14,0,-74,-100,0,0,100,0,0,100,1,0
2023-02-21,0,0,-39,100,0,-69,-36,0,-2,0,81,0,0,0,0,0,-26,-14,0,0,0,100,0,0,-71,0,0,100,0
2023-02-22,0,65,0,-9,0,-61,0,0,0,0,-43,0,1,0,100,0,-8,0,0,0,0,100,0,-97,0,0,0,0,0
2023-02-23,0,0,0,0,100,-23,-100,0,-7,0,-100,-62,47,0,100,0,0,0,0,0,100,-100,0,0,-24,0,100,0,0
2023-02-24,0,-4,0,-62,0,-24,-8,0,-61,0,100,45,-4,0,0,0,0,0,0,0,-19,-100,0,-3,0,0,100,4,0
2023-02-27,0,-61,0,-29,-100,0,1,0,100,0,-91,0,100,0,82,45,0,0,0,0,100,0,0,0,-1,0,100,0,0
2023-02-28,0,0,-61,0,0,0,0,0,1,0,-30,30,0,0,100,-12,0,0,0,0,0,0,0,0,0,0,2,0,0
2023-03-01,0,0,49,0,0,0,0,0,0,0,0,-6,0,0,100,-25,100,0,0,0,-100,0,0,0,0,0,0,0,0
2023-03-02,0,0,-49,100,0,0,-93,0,-100,0,56,-3,0,0,-100,-8,-25,0,0,0,0,0,0,0,0,0,100,2,0
2023-03-03,0,0,0,-37,0,0,1,0,0,0,1,-80,0,0,0,0,-75,0,0,0,0,0,0,0,58,0,1,0,0
2023-03-06,0,0,0,-52,100,0,100,0,-34,0,-9,100,-56,0,0,0,0,0,0,0,0,0,0,0,-58,0,0,73,0
2023-03-07,0,0,100,-11,1,1,0,0,-73,0,-48,0,0,0,0,0,0,0,0,0,-100,0,0,0,58,0,100,0,0
2023-03-08,0,0,0,0,0,-1,0,0,0,0,0,-66,100,0,-7,0,0,0,0,0,0,0,0,0,0,0,46,0,0
2023-03-09,0,0,100,0,-100,0,-68,100,0,0,37,-34,0,0,0,0,0,0,0,0,1,0,0,0,-25,0,100,-59,0
