account_value,date,daily_return
813026.7313068826,2022-10-04,
810786.6452349145,2022-10-05,-0.002755242829921789
802440.3583952385,2022-10-06,-0.010294060575279596
788937.7460783288,2022-10-07,-0.01682693570387328
786980.0689181115,2022-10-10,-0.0024814089197133793
786814.3850427034,2022-10-11,-0.00021053122175751504
785322.5804391267,2022-10-12,-0.0018960057568033761
810173.1296067598,2022-10-13,0.031643747151313795
799738.1023965242,2022-10-14,-0.01287999666849049
815831.5673013093,2022-10-17,0.020123418974985485
824995.3536057832,2022-10-18,0.011232448794285865
826924.6779427888,2022-10-19,0.0023385881248580986
826912.5675988557,2022-10-20,-1.464503872738998e-05
842807.4561601045,2022-10-21,0.01922196999303516
853238.7542367341,2022-10-24,0.01237684598111577
862601.2320847871,2022-10-25,0.010972869904893434
853352.1195168855,2022-10-26,-0.010722350286409665
857860.4904809358,2022-10-27,0.005283130915058498
877263.1120744111,2022-10-28,0.02261745564549522
873428.833258188,2022-10-31,-0.004370728420526437
870349.6479058625,2022-11-01,-0.0035253992484298724
859944.4652467134,2022-11-02,-0.011955175353014713
858705.3531747224,2022-11-03,-0.001440921038587617
873639.6902871492,2022-11-04,0.017391689777189523
886939.9455933931,2022-11-07,0.015223959550043187
895639.2214532258,2022-11-08,0.009808190400098171
879524.208433664,2022-11-09,-0.017992750466437002
912597.6556001069,2022-11-10,0.03760379401647507
912114.4426789643,2022-11-11,-0.0005294917406124533
909246.0301003816,2022-11-14,-0.003144794605113299
912226.3573708894,2022-11-15,0.003277800696230404
910574.59614805,2022-11-16,-0.001810692279929138
912948.9178300264,2022-11-17,0.0026074982675996505
918527.490049875,2022-11-18,0.006110497653152747
917915.4754891755,2022-11-21,-0.0006662996669443144
927668.9270501497,2022-11-22,0.010625653256119527
931087.9072823884,2022-11-23,0.0036855607992720696
935288.6930146577,2022-11-25,0.004511696156091594
920149.1083016755,2022-11-28,-0.016187071249823104
925305.5880990388,2022-11-29,0.005603961087220499
945252.4123483064,2022-11-30,0.021557012630007533
942087.6782327058,2022-12-01,-0.003348030720956685
946432.0688577058,2022-12-02,0.004611450425877406
938210.5125108125,2022-12-05,-0.008686895359342861
925060.4862618806,2022-12-06,-0.014016072164593552
923825.3942475679,2022-12-07,-0.0013351473040468242
928910.3773370149,2022-12-08,0.005504268578359062
921263.1304345491,2022-12-09,-0.008232491625714045
939200.8040566804,2022-12-12,0.019470738629983275
944498.701200998,2022-12-13,0.005640856695857233
942516.0692773225,2022-12-14,-0.0020991367390494897
921613.7485947969,2022-12-15,-0.022177150463389528
912721.1948724153,2022-12-16,-0.009648894383292639
910812.346601999,2022-12-19,-0.002091381553468885
917980.9213471772,2022-12-20,0.007870528733961768
931927.3830552461,2022-12-21,0.015192539827082463
917762.8406472566,2022-12-22,-0.01519919112318846
924766.1495957734,2022-12-23,0.007630848230440135
926059.5327134492,2022-12-27,0.0013986056023365112
917217.7164216401,2022-12-28,-0.009547783894520934
926389.0378671052,2022-12-29,0.00999906704947362
925964.7282014253,2022-12-30,-0.0004580253525633404
928265.7705903413,2023-01-03,0.002485021641575491
