account_rewards,date
6096.153248008806,2024-01-05
-5272.39503808599,2024-01-08
-16.733087020809762,2024-01-09
1044.9929031943902,2024-01-10
-5252.789438440232,2024-01-11
-2442.3129440613557,2024-01-12
-1988.905174255371,2024-01-16
584.0600433349609,2024-01-17
7210.313293457031,2024-01-18
6443.644470214844,2024-01-19
-3621.98006439209,2024-01-22
-3595.5504455566406,2024-01-23
3996.2714920043945,2024-01-24
1007.2841949462891,2024-01-25
5847.895332336426,2024-01-26
6845.828422546387,2024-01-29
-8440.431625366211,2024-01-30
3790.113945007324,2024-01-31
5770.439811706543,2024-02-01
-9745.384559631348,2024-02-02
4806.944763183594,2024-02-05
5038.276596069336,2024-02-06
4849.554977416992,2024-02-07
-3916.5397720336914,2024-02-08
6225.945861816406,2024-02-09
-14714.326583862305,2024-02-12
3603.198501586914,2024-02-13
12200.78704071045,2024-02-14
-2013.148696899414,2024-02-15
1238.0200500488281,2024-02-16
2440.9603576660156,2024-02-20
7867.269958496094,2024-02-21
639.4579849243164,2024-02-22
-396.14307403564453,2024-02-23
-4069.733741760254,2024-02-26
-822.9133911132812,2024-02-27
-1204.3877716064453,2024-02-28
458.0504608154297,2024-02-29
-1278.5308303833008,2024-03-01
-7920.15364074707,2024-03-04
1057.8900604248047,2024-03-05
1721.1633682250977,2024-03-06
314.5557098388672,2024-03-07
6540.416763305664,2024-03-08
2824.695426940918,2024-03-11
2485.4237747192383,2024-03-12
-4909.390510559082,2024-03-13
-4478.108741760254,2024-03-14
161.8203887939453,2024-03-15
7811.20858001709,2024-03-18
10161.635215759277,2024-03-19
11620.25439453125,2024-03-20
-7276.854377746582,2024-03-21
-2585.146629333496,2024-03-22
2056.828872680664,2024-03-25
11653.671112060547,2024-03-26
3925.388328552246,2024-03-27
-5908.591354370117,2024-03-28
-12705.805061340332,2024-04-01
374.52352142333984,2024-04-02
-14067.369537353516,2024-04-03
6000.386444091797,2024-04-04
