account_rewards,date
-16119.103387863142,2022-04-04
-14867.104532089317,2022-04-05
-352.7627383345971,2022-04-06
-894.9702744064853,2022-04-07
-10518.33751156996,2022-04-08
-3752.9311950607225,2022-04-11
7596.2198200989515,2022-04-12
-3368.833109241561,2022-04-13
-3726.4671180571895,2022-04-14
12080.118021106697,2022-04-18
2984.379667602596,2022-04-19
-12616.301117286668,2022-04-20
-31918.491042060894,2022-04-21
5440.164889144828,2022-04-22
-23469.579533077194,2022-04-25
9148.231491626706,2022-04-26
17746.370376815787,2022-04-27
-26085.37284854497,2022-04-28
1291.8178062400548,2022-04-29
426.1383892745944,2022-05-02
23631.283535236376,2022-05-03
-27269.74808146665,2022-05-04
-4464.194877136266,2022-05-05
-16214.586335323285,2022-05-06
-3510.660314907087,2022-05-09
-992.7544929161668,2022-05-10
-1935.6576612014323,2022-05-11
9723.422928577405,2022-05-12
3747.5493609008845,2022-05-13
10206.653121917741,2022-05-16
-875.2778475189116,2022-05-17
-415.2919501684373,2022-05-18
-155.66596062062308,2022-05-19
2943.187444229261,2022-05-20
2024.3324980620528,2022-05-23
1007.0597661362262,2022-05-24
3811.422386779799,2022-05-25
4704.288020301377,2022-05-26
-1730.1750918349717,2022-05-27
-5374.176166084129,2022-05-31
4576.581388526829,2022-06-01
-4935.92261693941,2022-06-02
-236.8716143036727,2022-06-03
4910.95753796387,2022-06-06
-6333.8380183181725,2022-06-07
-17810.374290569336,2022-06-08
-19008.92940325546,2022-06-09
-22087.25235499954,2022-06-10
-5203.607054359396,2022-06-13
2913.8951770324493,2022-06-14
-18572.751591217006,2022-06-15
3338.116411907249,2022-06-16
17020.269426361076,2022-06-17
-4308.116078041028,2022-06-21
958.8602726401296,2022-06-22
20261.777948268922,2022-06-23
-150.45106129453052,2022-06-24
-9638.365544078872,2022-06-27
-2499.375360336271,2022-06-28
-6686.910413345322,2022-06-29
7749.324639972765,2022-06-30
-7274.862848865567,2022-07-01
