account_rewards,date
972.163045219495,2023-04-05
-1771.2779614333995,2023-04-06
-2685.852442878764,2023-04-10
-2725.5669749602675,2023-04-11
9757.6019291915,2023-04-12
4139.65650329215,2023-04-13
665.4741574020591,2023-04-14
-6412.490220459062,2023-04-17
-160.53831157681998,2023-04-18
-5224.686047943076,2023-04-19
412.8613314628601,2023-04-20
5871.664250854519,2023-04-21
-8025.939854427357,2023-04-24
-11376.244524902315,2023-04-25
14368.555526756216,2023-04-26
5554.218728584354,2023-04-27
3285.594328666688,2023-04-28
-15267.380821548519,2023-05-01
-9064.457209671033,2023-05-02
-10227.00275817106,2023-05-03
16419.748346542357,2023-05-04
621.8037224655272,2023-05-05
-5643.694282531738,2023-05-08
-6088.7249183654785,2023-05-09
-4761.094371795654,2023-05-10
-4576.748275756836,2023-05-11
-2495.626148223877,2023-05-12
-17241.77656173706,2023-05-15
7392.684112548828,2023-05-16
6043.23205947876,2023-05-17
-7921.332538604736,2023-05-18
-18350.808074951172,2023-05-19
669.3592720031738,2023-05-22
-3743.6635398864746,2023-05-23
-9275.641620635986,2023-05-24
1643.3189544677734,2023-05-25
-4218.665073394775,2023-05-26
-4768.799747467041,2023-05-30
2062.997085571289,2023-05-31
17392.893062591553,2023-06-01
-8290.5277633667,2023-06-02
1464.6217460632324,2023-06-05
9196.338691711426,2023-06-06
1495.8195533752441,2023-06-07
262.02841567993164,2023-06-08
2245.4697914123535,2023-06-09
2906.7861366271973,2023-06-12
12075.466403961182,2023-06-13
7003.871921539307,2023-06-14
335.3516960144043,2023-06-15
-17405.628925323486,2023-06-16
3157.7712364196777,2023-06-20
-3918.8796463012695,2023-06-21
-7330.965606689453,2023-06-22
9343.601058959961,2023-06-23
5202.211082458496,2023-06-26
1802.8338775634766,2023-06-27
7651.884693145752,2023-06-28
1624.3193054199219,2023-06-29
-2458.9708137512207,2023-06-30
-4957.481094360352,2023-07-03
-12954.235416412354,2023-07-05
