date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-01-03,59,100,40,0,100,100,71,0,0,100,0,100,0,0,0,29,8,0,98,0,53,15,0,100,0,56,100,0,0
2022-01-04,100,100,-40,100,100,100,-44,100,0,20,1,100,100,0,0,100,100,9,100,0,-24,-10,27,23,100,100,100,2,0
2022-01-05,-13,100,78,95,-4,10,100,-4,72,29,-1,10,96,37,88,100,-48,-9,100,0,-29,-5,43,48,-52,-100,100,79,0
2022-01-06,100,100,100,100,5,100,76,-96,100,100,0,100,85,0,-44,100,100,88,18,0,0,0,-70,-100,100,100,100,6,67
2022-01-07,-100,100,-100,100,42,100,91,53,58,-7,0,100,100,-37,12,-27,33,79,3,31,0,63,0,81,-100,-100,100,-87,-67
2022-01-10,100,55,-1,100,100,100,-47,0,0,-53,0,100,-42,1,-56,90,-100,-19,0,-31,0,-21,0,0,0,100,-51,0,100
2022-01-11,15,-66,-77,-63,-18,45,-36,0,-23,-41,0,-71,-21,38,100,-100,11,41,-95,0,0,-42,18,88,-48,100,-80,0,78
2022-01-12,100,0,0,26,95,100,100,0,-20,0,0,0,0,-39,0,0,100,-100,-9,0,0,0,-18,0,0,100,-38,0,-100
2022-01-13,-81,-73,0,-2,-9,0,-28,-53,-100,100,0,-45,-8,75,0,0,-65,100,-100,0,0,0,0,-4,0,100,-100,21,0
2022-01-14,-90,93,0,-100,-100,0,0,78,-2,-47,88,-100,-100,4,79,0,-100,0,0,0,50,0,100,0,0,87,-41,-21,-78
2022-01-18,-100,-69,26,-100,27,-100,-96,-28,-85,21,-88,-100,-100,15,-84,-100,-39,15,0,0,-29,0,69,3,100,-22,-76,49,76
2022-01-19,63,100,100,-24,16,100,100,100,100,-93,0,29,100,-72,-95,-100,0,-71,7,49,-21,100,-77,-100,-52,-35,71,55,-76
2022-01-20,100,46,100,0,100,100,0,100,100,-60,0,100,-30,-22,0,-40,100,100,100,-49,0,0,0,0,-15,0,1,-100,0
2022-01-21,-16,-100,-100,-61,-100,-66,-100,2,-64,23,0,11,-100,0,100,-52,100,100,-100,78,20,-80,-92,-49,-33,51,57,100,4
2022-01-24,100,0,0,1,0,0,100,100,-100,100,77,100,-43,0,-100,0,100,0,100,-78,0,0,0,0,0,0,2,100,0
2022-01-25,-100,-100,53,-39,0,-2,-100,100,-36,-68,100,-41,-37,100,0,0,0,-65,-100,0,0,-20,0,100,100,0,0,3,0
2022-01-26,-100,20,-8,-91,-100,-100,-100,100,34,100,-39,-100,0,96,0,0,-100,14,-100,98,-20,100,42,100,-34,44,-83,66,100
