account_value,date,daily_return
984924.6861039505,2023-04-05,
985896.84914917,2023-04-06,0.0009870430287062248
984125.5711877366,2023-04-10,-0.0017966159065849752
981439.7187448578,2023-04-11,-0.0027291765619271713
978714.1517698976,2023-04-12,-0.0027771109349904455
988471.753699089,2023-04-13,0.009969817961195337
992611.4102023812,2023-04-14,0.0041879360617038675
993276.8843597833,2023-04-17,0.0006704276724629477
986864.3941393242,2023-04-18,-0.006455893941992086
986703.8558277474,2023-04-19,-0.00016267514820700324
981479.1697798043,2023-04-20,-0.005295090332407826
981892.0311112672,2023-04-21,0.000420652158675372
987763.6953621217,2023-04-24,0.005979948980957994
979737.7555076943,2023-04-25,-0.008125364287138503
968361.510982792,2023-04-26,-0.011611519981698737
982730.0665095482,2023-04-27,0.01483800766944321
988284.2852381326,2023-04-28,0.005651825376943753
991569.8795667993,2023-05-01,0.0033245437347766416
976302.4987452507,2023-05-02,-0.015397180910959651
967238.0415355797,2023-05-03,-0.009284476093547545
957011.0387774087,2023-05-04,-0.010573408322458788
973430.787123951,2023-05-05,0.017157323877390995
974052.5908464165,2023-05-08,0.0006387754842875903
968408.8965638848,2023-05-09,-0.005794034465456899
962320.1716455193,2023-05-10,-0.0062873492178454615
957559.0772737237,2023-05-11,-0.004947515922537948
952982.3289979668,2023-05-12,-0.0047795988617092
950486.702849743,2023-05-15,-0.002618753855433975
933244.9262880059,2023-05-16,-0.01813994505135408
940637.6104005547,2023-05-17,0.007921483315160627
946680.8424600335,2023-05-18,0.006424612404032359
938759.5099214287,2023-05-19,-0.008367479496067975
920408.7018464776,2023-05-22,-0.019547933076584312
921078.0611184807,2023-05-23,0.0007272413555634571
917334.3975785943,2023-05-24,-0.004064436770256474
908058.7559579583,2023-05-25,-0.010111516198585857
909702.0749124261,2023-05-26,0.0018097055324730604
905483.4098390313,2023-05-30,-0.004637413928951339
900714.6100915642,2023-05-31,-0.005266578819279277
902777.6071771355,2023-06-01,0.0022904003803840833
920170.5002397271,2023-06-02,0.019265977494697495
911879.9724763604,2023-06-05,-0.00900977347264098
913344.5942224236,2023-06-06,0.001606156281824811
922540.932914135,2023-06-07,0.010068859825617782
924036.7524675103,2023-06-08,0.0016214126658318229
924298.7808831902,2023-06-09,0.00028356925737016425
926544.2506746026,2023-06-12,0.002429376558591434
929451.0368112298,2023-06-13,0.0031372340117710174
941526.503215191,2023-06-14,0.012992041458568693
948530.3751367303,2023-06-15,0.007438847337405852
948865.7268327447,2023-06-16,0.00035354871578685554
931460.0979074212,2023-06-20,-0.0183436164181231
934617.8691438409,2023-06-21,0.0033901304452157444
930698.9894975396,2023-06-22,-0.00419302880426542
923368.0238908501,2023-06-23,-0.007876838472390846
932711.6249498101,2023-06-26,0.010119043346972667
937913.8360322686,2023-06-27,0.005577512859602729
939716.6699098321,2023-06-28,0.0019221743067467933
947368.5546029778,2023-06-29,0.00814275721412927
948992.8739083977,2023-06-30,0.0017145590251310683
946533.9030946465,2023-07-03,-0.0025911372796973975
941576.4220002862,2023-07-05,-0.005237510329162087
928622.1865838738,2023-07-06,-0.01375802867800402
