date,dji
2022-06-28,845891.5039065107
2022-06-29,848141.611345564
2022-06-30,841202.142908622
2022-07-01,849998.905589767
2022-07-05,846460.8641569972
2022-07-06,848370.369777194
2022-07-07,857851.5926338184
2022-07-08,856583.304638431
2022-07-11,852092.1119715134
2022-07-12,846830.1341853718
2022-07-13,841129.965219109
2022-07-14,837231.6759691536
2022-07-15,855219.6161022446
2022-07-18,849325.1225872926
2022-07-19,869946.694213773
2022-07-20,871252.9395591929
2022-07-21,875682.6317096023
2022-07-22,871921.2238175699
2022-07-25,874401.744650069
2022-07-26,868156.0255291206
2022-07-27,880074.8469827644
2022-07-28,889150.7109662574
2022-07-29,897774.3966729929
2022-08-01,896497.0864664163
2022-08-02,885502.7480374022
2022-08-03,896882.5324118934
2022-08-04,894540.6012849978
2022-08-05,896635.6761720199
2022-08-08,897430.2713870449
2022-08-09,895841.4012721851
2022-08-10,910467.6334846823
2022-08-11,911210.0173237132
2022-08-12,922809.8048479704
2022-08-15,926947.8500177509
2022-08-16,933496.1602216582
2022-08-17,928803.2223708129
2022-08-18,929314.8725012079
2022-08-19,921325.2507133685
2022-08-22,903746.2463063655
2022-08-23,899536.3437622621
2022-08-24,901166.5345366508
2022-08-25,909982.9966019897
2022-08-26,882420.3549626165
2022-08-29,877379.7683587316
2022-08-30,868957.7210641939
2022-08-31,861292.3116346485
2022-09-01,865282.7448876362
2022-09-02,856044.5344886034
2022-09-06,851312.037711775
2022-09-07,863228.8838884128
2022-09-08,868510.8279880736
2022-09-09,878820.8130133385
2022-09-12,885097.389164271
2022-09-13,850209.6729848838
2022-09-14,851032.9364094269
2022-09-15,846296.8627796419
2022-09-16,842486.5534352469
2022-09-19,847878.3656451281
2022-09-20,839310.6817108035
2022-09-21,825030.2297460701
2022-09-22,822102.8158374507
2022-09-23,808811.3370222966
2022-09-26,799802.2053700841
2022-09-27,796363.0879452047
2022-09-28,811362.3805824933
2022-09-29,798840.0319247473
2022-09-30,785170.5277993546
2022-10-03,806091.1136558373
2022-10-04,828653.047932499
2022-10-05,827492.706156191
2022-10-06,818009.881723616
2022-10-07,800785.6263897007
2022-10-10,798218.780613457
2022-10-11,799211.2238442628
2022-10-12,798436.5949427569
2022-10-13,821065.2615506992
2022-10-14,810025.4917505492
2022-10-17,825086.0179750208
2022-10-18,834324.2283740534
2022-10-19,831591.1390141231
2022-10-20,829125.0857510457
2022-10-21,849597.1235695925
2022-10-24,860996.8208717378
2022-10-25,870211.5414901597
2022-10-26,870276.2985444344
2022-10-27,875583.6543158469
2022-10-28,898230.0984168422
2022-10-31,894708.1261294447
2022-11-01,892528.2744887637
2022-11-02,878712.8134083939
2022-11-03,874708.1795153097
2022-11-04,885695.4710101407
2022-11-07,897278.8690738353
2022-11-08,906403.5811238257
2022-11-09,888721.8089266506
2022-11-10,921561.216236777
2022-11-11,922449.2367155949
2022-11-14,916677.4773043342
2022-11-15,918214.2428149299
2022-11-16,917145.6713405991
2022-11-17,916940.4560754449
2022-11-18,922389.9784054176
2022-11-21,921148.7570435975
2022-11-22,932022.6035752513
2022-11-23,934645.451123906
2022-11-25,938826.7388443562
2022-11-28,925226.3694141703
2022-11-29,925310.2919939887
2022-11-30,945461.6409213332
2022-12-01,940138.2160045485
2022-12-02,941091.2604669661
2022-12-05,927895.2355784759
2022-12-06,918307.6680787228
2022-12-07,918350.9106293927
2022-12-08,923368.2209961268
2022-12-09,915030.950455248
2022-12-12,929478.8738785632
2022-12-13,932310.6737029237
2022-12-14,928421.4066641575
2022-12-15,907534.9343754255
2022-12-16,899833.4894869885
2022-12-19,895380.2541701033
2022-12-20,897900.3873144508
2022-12-21,912298.1280246429
2022-12-22,902758.928118602
2022-12-23,907581.7003931869
2022-12-27,908610.2324687493
2022-12-28,898610.3125475467
2022-12-29,908042.8474952687
2022-12-30,906032.4425901753
2023-01-03,905735.0833219888
2023-01-04,909381.3379031633
2023-01-05,900096.3614863693
2023-01-06,919244.376466443
2023-01-09,916156.751576885
2023-01-10,921253.1797955856
2023-01-11,928603.4524638911
2023-01-12,934533.6611225446
2023-01-13,937612.5307302385
2023-01-17,926904.3939236209
2023-01-18,910124.5759160346
2023-01-19,903225.5205789164
2023-01-20,912271.0080052104
2023-01-23,919215.6548710598
2023-01-24,922069.3429000804
2023-01-25,922339.3686053744
2023-01-26,927958.3376709349
2023-01-27,928741.9353977648
2023-01-30,921608.1957979986
2023-01-31,931692.8924728599
2023-02-01,931882.0919785068
2023-02-02,930815.549167047
2023-02-03,927318.7750079412
2023-02-06,926362.3138501619
2023-02-07,933624.0727542569
2023-02-08,927947.4469544699
2023-02-09,921137.7595554026
2023-02-10,925767.8088572489
2023-02-13,936063.272927227
2023-02-14,931781.1926936104
2023-02-15,932841.2224295373
2023-02-16,921055.0114646145
2023-02-17,924603.9969997144
2023-02-21,905549.7275986237
2023-02-22,903240.041534203
2023-02-23,906214.488389909
2023-02-24,897003.3980103089
2023-02-27,898976.0057229648
2023-02-28,892623.9419588875
2023-03-01,892764.453555632
2023-03-02,902105.1648155118
2023-03-03,912694.1443713948
2023-03-06,913800.4062664328
2023-03-07,898084.1414618652
2023-03-08,896497.0864664163
2023-03-09,881640.2273170133
2023-03-10,872204.1689021997
2023-03-13,869730.4814604238
2023-03-14,878921.6589123697
2023-03-15,871245.5723098196
2023-03-16,881413.1238471989
2023-03-17,870901.4470238715
2023-03-20,881359.2575093893
2023-03-21,889997.1972420863
2023-03-22,875497.0090569119
2023-03-23,877550.8700561352
2023-03-24,881166.5345366508
2023-03-27,886484.3005517429
2023-03-28,885450.2697320831
2023-03-29,894288.566616217
2023-03-30,898154.3972602374
2023-03-31,909501.0290125484
2023-04-03,918439.1040784131
2023-04-04,913006.0245948681
2023-04-05,915201.9987667865
2023-04-06,915272.2545651589
2023-04-10,918039.2439493795
2023-04-11,920725.3003622231
2023-04-12,919678.7238642824
2023-04-13,930152.7102669026
2023-04-14,926237.9247846548
2023-04-17,928990.713528779
2023-04-18,928702.3230859165
2023-04-19,926526.1016840572
2023-04-20,923508.7325928714
2023-04-21,924119.3601170218
2023-04-24,925935.3337016958
2023-04-25,916516.9993940704
2023-04-26,910258.7879807063
2023-04-27,924589.4760444277
2023-04-28,932024.2051512022
2023-05-01,930754.2621939989
2023-05-02,920718.2534280398
2023-05-03,913330.183567297
2023-05-04,905499.1177985806
2023-05-05,920440.7537016425
2023-05-08,918918.6159180633
2023-05-09,917363.8059850894
2023-05-10,916530.6661755167
2023-05-11,910467.6334846823
2023-05-12,910224.6210270907
2023-05-15,911536.098187283
2023-05-16,902339.4219912394
2023-05-17,913508.7058999388
2023-05-18,916655.9094148641
2023-05-19,913668.8634950124
2023-05-22,909840.7766575643
2023-05-23,903524.9085099738
2023-05-24,896538.7274411353
2023-05-25,895574.6321046576
2023-05-26,904558.8859437687
2023-05-30,903176.939441744
2023-05-31,899500.2549175055
2023-06-01,903690.5114632798
2023-06-02,922856.5708657319
2023-06-05,917392.5275804725
2023-06-06,917677.3945562433
2023-06-07,920184.928636445
2023-06-08,924793.0897336312
2023-06-09,925973.1308941331
2023-06-12,931154.1223230325
2023-06-13,935139.1636036527
2023-06-14,928776.1023513804
2023-06-15,940494.8335829123
2023-06-16,937517.1835753048
2023-06-20,930813.6272759062
2023-06-21,928015.9944051614
2023-06-22,927884.558405471
2023-06-23,921890.8205674383
2023-06-26,921543.1718143987
2023-06-27,927338.6345497303
2023-06-28,925313.8154610804
2023-06-29,932687.3643665366
2023-06-30,940482.3412904965
2023-07-03,940779.3802434929
2023-07-05,937230.7150235833
2023-07-06,927216.2741470941
2023-07-07,922094.4342566419
2023-07-10,927821.3495412819
2023-07-11,936486.7296086015
2023-07-12,938837.6295608212
2023-07-13,940141.7394716402
2023-07-14,943254.7760329497
2023-07-17,945340.8820946479
2023-07-18,955360.7683293695
2023-07-19,958347.8142492212
2023-07-20,962829.6643897594
2023-07-21,962898.318612181
2023-07-24,967915.3086637252
2023-07-25,968648.7236774319
2023-07-26,970891.463867112
2023-07-27,964402.4119733819
2023-07-28,969228.7077150584
2023-07-31,971968.6838515766
2023-08-01,973913.4241426898
2023-08-02,964396.9666151493
2023-08-03,962575.7612157029
2023-08-04,958468.3595324466
2023-08-07,969606.999954622
2023-08-08,965270.7864538707
2023-08-09,960046.5524743014
2023-08-10,961489.4656341841
2023-08-11,964366.3231286253
2023-08-14,965083.2952959045
2023-08-15,955209.3660161599
2023-08-16,950271.4938165821
2023-08-17,942319.8827646404
2023-08-18,943025.9642154548
2023-08-21,942015.4765622705
2023-08-22,937235.8400666255
2023-08-23,942269.3797363272
2023-08-24,932058.6924200079
2023-08-25,938823.1086055345
2023-08-28,944647.3997079793
2023-08-29,952647.6986688235
2023-08-30,953674.522396705
2023-08-31,949073.5150054321
2023-09-01,952238.7629427357
2023-09-05,946888.4315499784
2023-09-06,941455.1385229733
2023-09-07,943027.8861065956
2023-09-08,945101.3931041479
2023-09-11,947482.9365428915
2023-09-12,946998.299660199
2023-09-13,945072.4579653045
2023-09-14,954135.6694987868
2023-09-15,946239.7932899306
2023-09-18,946405.5030149667
2023-09-19,943492.5566757689
2023-09-20,941391.9296587843
2023-09-21,931266.019096124
2023-09-22,928352.7524417359
2023-09-25,929529.1633634163
2023-09-26,918923.7409611058
2023-09-27,917048.4022945245
2023-09-28,920221.0174812016
2023-09-29,915879.3586222176
2023-10-02,913852.6176424269
2023-10-03,902072.5994378468
2023-10-04,905548.6598813232
2023-10-05,905275.8581110479
2023-10-06,913148.1377675633
2023-10-09,918534.7715485372
2023-10-10,922215.2998550574
2023-10-11,924007.5701156604
2023-10-12,919258.8974217296
2023-10-13,920328.9637002811
2023-10-16,928918.5358392659
2023-10-17,929276.8617653104
2023-10-18,920186.5302123957
2023-10-19,913328.368447886
2023-10-20,905486.6255061647
2023-10-23,900269.4384607788
2023-10-24,905871.9646799117
2023-10-25,902989.661827238
2023-10-26,896111.7472926693
2023-10-27,886088.230819126
2023-10-30,900065.8247715753
2023-10-31,903452.7308204606
2023-11-01,909512.7739028538
2023-11-02,924942.5701557
2023-11-03,931017.2409651097
2023-11-06,931961.3166022033
2023-11-07,933512.2827528955
2023-11-08,932409.8646401392
2023-11-09,926387.5119784535
2023-11-10,937079.3127103737
2023-11-13,938576.3591373912
2023-11-14,951965.10699862
2023-11-15,956434.4648467426
2023-11-16,955184.1678878684
2023-11-17,955233.709970611
2023-11-20,960803.1369534289
2023-11-21,959087.9558819212
2023-11-22,964137.6180828603
2023-11-24,967338.8480931903
2023-11-27,965789.5902901789
2023-11-28,968072.2631068972
2023-11-29,968439.6646299958
2023-11-30,982665.9299417293
2023-12-01,990718.6538220275
2023-12-04,989596.3761674821
2023-12-05,987412.8942879793
2023-12-06,985496.0214184091
2023-12-07,987216.6478481492
2023-12-08,990783.4642621673
2023-12-11,995076.4352122488
2023-12-12,999805.4619078507
2023-12-13,1013808.3607603215
2023-12-14,1018130.1600775163
2023-12-15,1019682.9413476194
2023-12-18,1019706.4311282302
2023-12-19,1026591.8196839023
2023-12-20,1013583.1791816481
2023-12-21,1022394.1958887546
2023-12-22,1021891.7281271438
2023-12-26,1026247.5876262243
2023-12-27,1029286.84492207
2023-12-28,1030751.4327431526
2023-12-29,1030189.3863561744
2024-01-02,1030886.3922099345
2024-01-03,1023100.4908830288
2024-01-04,1023377.8838376964
2024-01-05,1024082.2569408299
2024-01-08,1030010.9707952625
2024-01-09,1025696.325183981
2024-01-10,1030358.6195483021
2024-01-11,1030776.5240997142
2024-01-12,1027550.0959610924
2024-01-16,1021212.5531523019
2024-01-17,1018630.9194914462
2024-01-18,1024150.5908480613
2024-01-19,1034952.5800053921
2024-01-22,1038724.8252280244
2024-01-23,1036090.9801911749
2024-01-24,1033383.3558888612
2024-01-25,1040018.2579658383
2024-01-26,1041666.4931626054
2024-01-29,1047789.7451091876
2024-01-30,1051448.5987545077
2024-01-31,1042783.6457741085
2024-02-01,1052884.4649802072
2024-02-02,1056563.0713955867
2024-02-05,1049065.4537398135
2024-02-06,1052925.9991831963
2024-02-07,1057190.0349944346
2024-02-08,1058528.5254023294
2024-02-09,1057035.1092141334
2024-02-12,1060470.596400191
2024-02-13,1046130.6191959555
2024-02-14,1050272.1878328277
2024-02-15,1059807.5439565866
2024-02-16,1055840.5470983447
2024-02-20,1054086.074030179
2024-02-21,1055410.0434827872
2024-02-22,1067897.958257592
2024-02-23,1069604.1705037758
2024-02-26,1067901.2681812237
2024-02-27,1065254.824080228
2024-02-28,1064615.4749606946
2024-02-29,1065910.2957309994
2024-03-01,1068397.3296390316
2024-03-04,1065730.919224517
2024-03-05,1054670.7560239274
2024-03-06,1056744.2630214798
2024-03-07,1060305.8476207254
2024-03-08,1058429.1209216537
2024-03-11,1059712.9442037633
2024-03-12,1066158.9670902835
2024-03-13,1067193.0512958083
2024-03-14,1063430.3087571503
2024-03-15,1058212.5878531141
2024-03-18,1060280.649492434
2024-03-19,1069036.4652151049
2024-03-20,1080007.2604776435
2024-03-21,1087366.608743003
2024-03-22,1079016.9526814385
2024-03-25,1074581.8685586618
2024-03-26,1073725.9863705887
2024-03-27,1086784.5960425057
2024-03-28,1088077.2813782096
2024-04-01,1081503.0256439003
2024-04-02,1070662.1715768317
2024-04-03,1069484.1590792006
2024-04-04,1054992.9931052155
2024-04-05,
